(3518, 3751, 2)
(1290, 3089, 841)
(1531, 2247, 609)
(533, 3230, 1039)
(2398, 361, 1159)
(161, 2600, 353)
(3403, 422, 797)
(486, 1417, 19)
(3506, 3072, 1321)
(1139, 760, 3836)
(1386, 779, 3836)
(1839, 3203, 857)
(1379, 3040, 827)
(649, 164, 7)
(1592, 1311, 2)
(3808, 2290, 1050)
(1937, 133, 757)
(3915, 97, 1322)
(959, 3144, 823)
(3701, 686, 18)
(3893, 3292, 1321)
(2707, 268, 808)
(1917, 3791, 3229)
(3372, 2303, 796)
(1211, 1753, 2)
(2358, 1360, 758)
(2051, 2590, 2)
(2488, 1128, 758)
(3909, 2356, 1050)
(1047, 2334, 1391)
(2772, 1087, 37)
(1438, 3085, 821)
(539, 726, 3836)
(416, 56, 417)
(490, 1080, 16)
(901, 2067, 1391)
(2468, 1627, 179)
(1710, 2402, 1412)
(737, 2596, 1639)
(727, 2068, 1639)
(147, 4032, 3267)
(813, 1462, 758)
(3489, 376, 7)
(1077, 3826, 1906)
(3227, 36, 794)
(1027, 2265, 1391)
(700, 3048, 218)
(3153, 3134, 2)
(723, 2338, 1639)
(3784, 2649, 1050)
(3931, 2610, 1050)
(1439, 1186, 2)
(2601, 2999, 761)
(3090, 3780, 3231)
(484, 2777, 866)
(1595, 1220, 2)
(2599, 1410, 758)
(746, 96, 1637)
(2293, 2829, 1572)
(3690, 2175, 1050)
(1857, 3482, 1731)
(1025, 1118, 2)
(1789, 3897, 1731)
(1671, 1068, 2)
(2825, 810, 1831)
(1317, 3552, 1048)
(1051, 1977, 1391)
(1099, 377, 61)
(3670, 1643, 671)
(3407, 1204, 5)
(3497, 3602, 2)
(3615, 1894, 580)
(2862, 3916, 3231)
(421, 1640, 28)
(3605, 813, 606)
(1031, 2894, 819)
(1972, 2852, 1147)
(2665, 994, 53)
(462, 1371, 22)
(2584, 1563, 758)
(898, 4029, 3267)
(2811, 2544, 796)
(1325, 1590, 2)
(3477, 1986, 1050)
(2825, 3205, 2)
(669, 560, 9)
(2340, 3088, 761)
(3110, 3533, 3231)
(1374, 3890, 1731)
(1131, 2616, 721)
(1797, 1802, 2)
(907, 1554, 2)
(2873, 3197, 2)
(3397, 3150, 1)
(1084, 2871, 821)
(112, 413, 349)
(3276, 3545, 3231)
(1172, 197, 115)
(1208, 2824, 819)
(1289, 2727, 838)
(2959, 59, 794)
(1702, 1629, 2)
(1856, 3482, 1731)
(1884, 3549, 1731)
(3377, 2972, 2)
(2217, 1238, 758)
(3917, 366, 549)
(1367, 3622, 1731)
(2969, 1697, 74)
(3605, 1849, 671)
(1847, 2675, 824)
(1298, 3212, 833)
(1959, 2381, 4)
(4017, 3440, 517)
(2749, 3264, 2)
(306, 1521, 115)
(515, 3782, 1368)
(1042, 2549, 1391)
(2740, 1171, 2)
(1531, 2019, 1391)
(801, 1497, 758)
(2273, 3294, 1570)
