(991, 498, 2)
(846, 165, 2)
(632, 364, 2)
(33, 895, 2)
(302, 136, 2)
(91, 227, 2)
(527, 902, 2)
(259, 510, 2)
(957, 977, 2)
(537, 889, 2)
(260, 413, 2)
(779, 786, 2)
(499, 806, 2)
(220, 448, 2)
(10, 397, 2)
(440, 262, 1)
(541, 601, 2)
(406, 178, 2)
(563, 673, 2)
(834, 429, 2)
(190, 411, 2)
(181, 459, 2)
(205, 343, 2)
(220, 932, 2)
(546, 311, 2)
(550, 252, 2)
(87, 252, 2)
(648, 979, 2)
(270, 16, 2)
(189, 310, 2)
(980, 36, 2)
(206, 597, 2)
(9, 136, 2)
(369, 440, 1)
(535, 947, 2)
(53, 124, 2)
(522, 196, 2)
(762, 415, 2)
(376, 943, 2)
(108, 857, 2)
(358, 173, 2)
(315, 922, 2)
(468, 720, 2)
(272, 267, 2)
(210, 796, 2)
(707, 978, 2)
(556, 309, 2)
(998, 407, 2)
(966, 783, 2)
(712, 50, 2)
(549, 875, 2)
(82, 770, 2)
(434, 886, 2)
(110, 299, 2)
(231, 338, 2)
(187, 820, 2)
(589, 411, 2)
(443, 329, 2)
(688, 788, 2)
(112, 180, 2)
(946, 827, 2)
(128, 777, 1)
(377, 378, 2)
(97, 969, 2)
(799, 69, 2)
(865, 590, 2)
(63, 60, 2)
(115, 168, 1)
(900, 535, 2)
(201, 985, 2)
(306, 663, 2)
(724, 220, 2)
(712, 379, 2)
(607, 384, 2)
(251, 796, 2)
(788, 144, 1)
(644, 860, 2)
(853, 162, 2)
(627, 491, 2)
(724, 909, 2)
(369, 809, 2)
(780, 37, 2)
(214, 155, 2)
(829, 433, 2)
(345, 589, 2)
(791, 942, 2)
(955, 474, 2)
(94, 370, 2)
(289, 433, 2)
(172, 727, 2)
(303, 959, 2)
(286, 338, 2)
(422, 472, 2)
(655, 526, 2)
(639, 0, 2)
(723, 335, 2)
(332, 167, 2)
(76, 681, 2)
(736, 988, 2)
(65, 41, 2)
(961, 65, 2)
(63, 20, 2)
(954, 739, 2)
(209, 492, 1)
(281, 741, 2)
(437, 95, 2)
(220, 4, 2)
(42, 71, 1)
(455, 862, 2)
(13, 231, 2)
(181, 886, 2)
(638, 144, 1)
(497, 555, 2)
(495, 109, 2)
(681, 220, 2)
(976, 817, 2)
(413, 569, 2)
(490, 84, 2)
(19, 723, 2)
(955, 808, 2)
(659, 168, 2)
(79, 382, 2)
(521, 376, 2)
(451, 666, 2)
(364, 860, 2)
(995, 616, 2)
(305, 756, 2)
(348, 848, 2)
(904, 152, 2)
(341, 959, 2)
(491, 134, 2)
(481, 789, 2)
(85, 232, 2)
(699, 656, 1)
(842, 235, 2)
(707, 73, 2)
(698, 44, 2)
(601, 492, 2)
(233, 634, 2)
(146, 120, 2)
(813, 154, 2)
(380, 0, 2)
(562, 679, 2)
(6, 733, 2)
(815, 147, 2)
(229, 454, 2)
(736, 855, 1)
(80, 383, 2)
(767, 346, 2)
(981, 90, 2)
(594, 412, 2)
(519, 845, 2)
(78, 314, 2)
(236, 203, 2)
(847, 951, 2)
(476, 162, 2)
(275, 410, 2)
(601, 566, 2)
(375, 475, 2)
(48, 332, 2)
(68, 637, 2)
(299, 414, 2)
(116, 972, 2)
(881, 386, 2)
(788, 441, 2)
(344, 150, 2)
(977, 109, 2)
(580, 911, 2)
(504, 605, 2)
(922, 564, 2)
(411, 632, 2)
(48, 268, 2)
(143, 889, 2)
(879, 135, 2)
(17, 369, 2)
(293, 589, 2)
(726, 320, 2)
(569, 887, 2)
(844, 41, 2)
(806, 310, 2)
(577, 643, 2)
(424, 100, 1)
(180, 788, 2)
(45, 994, 2)
(174, 429, 2)
(539, 31, 2)
(330, 513, 2)
(725, 150, 2)
(926, 301, 2)
(614, 791, 2)
(301, 969, 2)
(270, 988, 2)
(345, 379, 2)
(17, 275, 2)
(323, 874, 2)
(183, 735, 2)
(659, 731, 2)
(907, 869, 2)
(991, 167, 2)
(911, 529, 2)
(976, 904, 2)
(392, 391, 2)
(59, 796, 2)
(325, 806, 2)
(47, 414, 2)
(199, 71, 1)
(21, 910, 2)
(207, 235, 2)
(131, 191, 2)
(778, 406, 2)
(895, 744, 2)
(255, 699, 2)
(319, 939, 2)
(90, 327, 2)
(985, 209, 2)
(884, 121, 2)
(153, 279, 2)
(463, 719, 2)
(983, 96, 2)
(940, 63, 2)
(842, 321, 2)
(176, 328, 1)
(836, 635, 2)
(118, 710, 2)
(712, 634, 2)
(936, 308, 1)
(720, 784, 2)
(179, 958, 2)
(152, 922, 1)
(213, 656, 2)
(272, 385, 2)
(986, 968, 2)
(885, 591, 2)
(830, 730, 2)
(164, 780, 1)
(76, 235, 2)
(994, 85, 2)
(628, 768, 2)
(878, 517, 1)
(599, 357, 2)
(836, 941, 2)
(441, 585, 2)
(46, 368, 2)
(749, 563, 2)
(529, 245, 2)
(729, 496, 2)
(935, 493, 2)
(329, 577, 2)
(932, 239, 2)
(817, 777, 2)
(563, 712, 2)
(432, 841, 2)
(247, 298, 2)
(709, 127, 1)
(478, 448, 2)
(399, 313, 2)
(426, 726, 2)
(134, 195, 2)
(714, 110, 1)
(467, 109, 2)
(671, 979, 2)
(209, 981, 2)
(993, 8, 1)
(184, 946, 2)
(774, 909, 2)
(121, 253, 2)
(975, 222, 2)
(631, 947, 2)
(997, 173, 2)
(818, 237, 2)
(787, 715, 2)
(325, 287, 2)
(631, 653, 2)
(657, 934, 2)
(9, 547, 2)
(689, 253, 1)
(661, 113, 2)
(867, 548, 2)
(451, 570, 2)
(258, 759, 2)
(840, 501, 2)
(920, 713, 2)
(510, 129, 1)
(879, 848, 2)
(720, 802, 2)
(941, 520, 2)
(779, 791, 2)
(1, 467, 2)
(233, 390, 2)
(834, 67, 2)
(172, 443, 2)
(131, 524, 2)
(968, 690, 2)
(208, 975, 2)
(589, 397, 2)
(205, 261, 2)
(989, 773, 2)
(139, 191, 2)
(86, 611, 2)
(915, 667, 1)
(987, 613, 2)
(824, 996, 2)
(586, 535, 2)
(22, 899, 2)
(721, 275, 2)
(369, 436, 1)
(711, 752, 2)
(168, 458, 2)
(312, 776, 2)
(474, 450, 2)
(576, 368, 2)
(360, 692, 2)
(496, 610, 2)
(626, 549, 2)
(238, 213, 2)
(577, 278, 1)
(146, 629, 2)
(347, 330, 2)
(802, 491, 2)
(692, 226, 2)
(182, 269, 2)
(420, 970, 2)
(186, 555, 1)
(606, 824, 2)
(117, 598, 1)
(238, 487, 2)
(508, 81, 2)
(658, 990, 2)
(140, 544, 1)
(549, 380, 2)
(791, 950, 2)
(685, 574, 2)
(671, 617, 2)
(536, 59, 2)
(642, 816, 2)
(279, 66, 2)
(126, 884, 2)
(520, 539, 2)
(706, 917, 2)
(700, 87, 2)
(781, 409, 2)
(681, 109, 2)
(831, 170, 2)
(214, 246, 2)
(237, 706, 2)
(927, 602, 2)
(11, 86, 2)
(77, 263, 2)
(836, 445, 2)
(548, 864, 2)
(108, 772, 2)
(606, 360, 2)
(308, 584, 2)
(927, 336, 2)
(630, 405, 2)
(321, 172, 2)
